0	63	1	0	0
1	2	1	0	1
1	3	1	0	2
1	6	1	0	3
1	7	1	0	4
0	46	1	1	0
0	47	1	1	1
0	51	1	1	2
0	54	1	1	3
0	55	1	1	4
0	31	1	2	0
0	34	1	2	1
0	35	1	2	2
0	38	1	2	3
0	39	1	2	4
0	18	1	3	0
0	19	1	3	1
0	22	1	3	2
0	23	1	3	3
0	26	1	3	4
0	3	1	4	0
0	6	1	4	1
0	7	1	4	2
0	10	1	4	3
0	11	1	4	4
1	10	2	0	0
1	11	2	0	1
1	14	2	0	2
9	15	2	0	3
9	14	2	0	4
0	58	2	1	0
0	59	2	1	1
0	62	2	1	2
9	2	2	1	3
8	63	2	1	4
0	42	2	2	0
0	43	2	2	1
8	51	2	2	2
8	50	2	2	3
8	47	2	2	4
0	27	2	3	0
0	30	2	3	1
8	35	2	3	2
8	34	2	3	3
8	31	2	3	4
0	14	2	4	0
0	15	2	4	1
8	19	2	4	2
8	18	2	4	3
8	15	2	4	4
9	11	3	0	0
9	10	3	0	1
9	7	3	0	2
9	6	3	0	3
9	3	3	0	4
8	62	3	1	0
8	59	3	1	1
8	58	3	1	2
8	55	3	1	3
8	54	3	1	4
8	46	3	2	0
8	43	3	2	1
8	42	3	2	2
8	39	3	2	3
8	38	3	2	4
8	30	3	3	0
8	27	3	3	1
8	26	3	3	2
8	23	3	3	3
8	22	3	3	4
8	14	3	4	0
8	11	3	4	1
8	10	3	4	2
8	7	3	4	3
8	6	3	4	4
5	15	4	0	0
5	18	4	0	1
5	19	4	0	2
5	22	4	0	3
5	23	4	0	4
5	26	4	1	0
5	27	4	1	1
5	30	4	1	2
5	31	4	1	3
5	34	4	1	4
1	35	4	2	0
1	38	4	2	1
5	35	4	2	2
5	38	4	2	3
5	39	4	2	4
1	26	4	3	0
1	27	4	3	1
1	30	4	3	2
1	31	4	3	3
1	34	4	3	4
1	15	4	4	0
1	18	4	4	1
1	19	4	4	2
1	22	4	4	3
1	23	4	4	4
5	42	5	0	0
5	43	5	0	1
5	46	5	0	2
5	47	5	0	3
13	46	5	0	4
13	43	5	0	5
13	42	5	0	6
5	50	5	1	0
5	51	5	1	1
5	54	5	1	2
13	54	5	1	3
13	51	5	1	4
13	50	5	1	5
13	47	5	1	6
5	55	5	2	0
5	58	5	2	1
5	59	5	2	2
13	62	5	2	3
13	59	5	2	4
13	58	5	2	5
13	55	5	2	6
5	62	5	3	0
5	63	5	3	1
1	62	5	3	2
1	63	5	3	3
13	63	5	3	4
9	63	5	3	5
9	62	5	3	6
1	54	5	4	0
1	52	5	4	1
1	58	5	4	2
1	59	5	4	3
9	59	5	4	4
9	58	5	4	5
9	55	5	4	6
1	46	5	5	0
1	47	5	5	1
1	50	5	5	2
1	51	5	5	3
9	54	5	5	4
9	42	5	5	5
9	50	5	5	6
1	39	5	6	0
1	42	5	6	1
1	43	5	6	2
9	47	5	6	3
9	46	5	6	4
9	43	5	6	5
9	42	5	6	6
13	23	6	0	0
13	22	6	0	1
13	19	6	0	2
13	18	6	0	3
13	15	6	0	4
13	34	6	1	0
13	31	6	1	1
13	30	6	1	2
13	27	6	1	3
13	26	6	1	4
9	39	6	2	0
9	38	6	2	1
13	39	6	2	2
13	38	6	2	3
13	35	6	2	4
9	35	6	3	0
9	34	6	3	1
9	31	6	3	2
9	30	6	3	3
9	27	6	3	4
9	26	6	4	0
9	23	6	4	1
9	22	6	4	2
9	19	6	4	3
9	18	6	4	4
4	6	7	0	0
4	7	7	0	1
4	10	7	0	2
4	11	7	0	3
4	14	7	0	4
4	19	7	1	0
4	22	7	1	1
4	23	7	1	2
4	26	7	1	3
4	27	7	1	4
4	34	7	2	0
4	35	7	2	1
4	38	7	2	2
4	39	7	2	3
4	42	7	2	4
4	47	7	3	0
4	50	7	3	1
4	51	7	3	2
4	54	7	3	3
4	55	7	3	4
4	63	7	4	0
5	2	7	4	1
5	3	7	4	2
5	6	7	4	3
5	7	7	4	4
4	15	8	0	0
4	18	8	0	1
12	18	8	0	2
12	15	8	0	3
12	14	8	0	4
4	30	8	1	0
4	31	8	1	1
12	34	8	1	2
12	31	8	1	3
12	30	8	1	4
4	43	8	2	0
4	46	8	2	1
12	50	8	2	2
12	47	8	2	3
12	46	8	2	4
4	58	8	3	0
4	59	8	3	1
4	62	8	3	2
12	63	8	3	3
12	62	8	3	4
5	10	8	4	0
5	11	8	4	1
5	14	8	4	2
13	14	8	4	3
13	11	8	4	4
12	11	9	0	0
12	10	9	0	1
12	7	9	0	2
12	6	9	0	3
12	3	9	0	4
12	27	9	1	0
12	26	9	1	1
12	23	9	1	2
12	22	9	1	3
12	19	9	1	4
12	43	9	2	0
12	42	9	2	1
12	39	9	2	2
12	38	9	2	3
12	35	9	2	4
12	59	9	3	0
12	58	9	3	1
12	55	9	3	2
12	54	9	3	3
12	51	9	3	4
13	10	9	4	0
13	7	9	4	1
13	6	9	4	2
13	3	9	4	3
13	2	9	4	4
4	3	10	0	0		
